nid	mid	fields
1483821333196	1483821318381	て	7
1483823143662	1483821318381	Q	A
1483823599079	1483821318381	て	7
1483823742877	1483821318381	で	7
1483924336871	1483821318381	史上初の女性アメリカ下院議員	ジャネット・ランキン
1483923721780	1483821318381	ジャネット・ランキン&nbsp;史上初の女性アメリカ下院議員 いつ？	1916<div>16</div><div>ビール</div>
1483927526441	1483821318378	ごだいごてんのう	後醍醐天皇
1483928137257	1483821318368	<div>14世紀（1300年〜）</div><div>弱体化したを，足利氏らが滅ぼす。その後，[...]が建武の新政で公家中心の政治を試みるが，武士の反感を買い失敗。足利尊氏が京都の室町に室町幕府を開く（室町時代）。逃亡した後醍醐天皇は南部に独自の朝廷を起こすが，のちに南北朝は統一。世界では元とモンゴル帝国に代わって明が建国。ヨーロッパではウィクリフらの教会改革運動，ペストの流行，ルネサンスの開始。</div>	<div><br /></div>
1483993960274	1483821318378	アメリカ独立宣言 いつ	1776<div>7 &nbsp;6</div><div>チ リ</div>
1484016408055	1483821318381	19	秋
1484008406643	1483821318381	11	ヒッピー
1484010594032	1483821318381	18	アンパン
1484010430348	1483821318381	15	あご
1484010262711	1483821318381	12	胃痛
1483887745407	1483821318381	03	レーザー
1483888627792	1483821318381	06	の り<div>0 &nbsp;6</div>
1483888695749	1483821318381	08	レバー
1483913052323	1483821318381	10	いわ<div>岩</div>
1483887827779	1483821318381	05	レンコン
1483888731393	1483821318381	09	駅<div>え き</div>
1483888653021	1483821318381	07	マッチ<div>0 7</div>
1484010554187	1483821318381	17	安全
1484010478966	1483821318381	16	ビール
1484010329730	1483821318381	14	石
1484010305537	1483821318381	13	胃酸
1484141439742	1483821318368	{{c1::1}}{{c2::2}}{{c3::3}}	
1483887535323	1483821318381	02	まつ<div>松</div>
1483872576114	1483821318381	01	礼<div>れい</div>
1483887802091	1483821318381	04	魔法<div>ま　ほう</div>
1484183243370	1483821318368	<div>クリミア戦争</div>{{c1::ボスニア}}や{{c1::ヘルツェゴヴィナ}}は、民族的には{{c2::スラヴ系}}でも宗教的な支配層は{{c2::ムスリム}}であり、そして被支配層は{{c2::キリスト教徒}}が多数であったため、また工業化がほとんど進んでいないこの地域では人口の大多数が封建領主に搾取される貧農であったため、たびたびセルビアやモンテネグロの反オスマン運動の宣伝に使われた。	
